"climate_model","impact_model","forcing","time","damage"
"gfdl-esm4","boats","historical",1950,218198559221218
"gfdl-esm4","boats","historical",1951,220206223461004
"gfdl-esm4","boats","historical",1952,200282433438745
"gfdl-esm4","boats","historical",1953,170752708283716
"gfdl-esm4","boats","historical",1954,189619025903012
"gfdl-esm4","boats","historical",1955,195968110411361
"gfdl-esm4","boats","historical",1956,214905717385811
"gfdl-esm4","boats","historical",1957,201371133140158
"gfdl-esm4","boats","historical",1958,188755715096756
"gfdl-esm4","boats","historical",1959,172255779015462
"gfdl-esm4","boats","historical",1960,216492326519659
"gfdl-esm4","boats","historical",1961,184422464694612
"gfdl-esm4","boats","historical",1962,145949565225718
"gfdl-esm4","boats","historical",1963,155459917198681
"gfdl-esm4","boats","historical",1964,186165420599316
"gfdl-esm4","boats","historical",1965,186704402267975
"gfdl-esm4","boats","historical",1966,203713611324374
"gfdl-esm4","boats","historical",1967,235799541715627
"gfdl-esm4","boats","historical",1968,213077285057328
"gfdl-esm4","boats","historical",1969,234491755289982
"gfdl-esm4","boats","historical",1970,238037515797576
"gfdl-esm4","boats","historical",1971,236265321402510
"gfdl-esm4","boats","historical",1972,217792706105055
"gfdl-esm4","boats","historical",1973,206549712964644
"gfdl-esm4","boats","historical",1974,214064066971812
"gfdl-esm4","boats","historical",1975,201534480677634
"gfdl-esm4","boats","historical",1976,165804691357152
"gfdl-esm4","boats","historical",1977,138338256156944
"gfdl-esm4","boats","historical",1978,116663894180010
"gfdl-esm4","boats","historical",1979,97378513180994
"gfdl-esm4","boats","historical",1980,116491765934989
"gfdl-esm4","boats","historical",1981,82322123735091
"gfdl-esm4","boats","historical",1982,28640813769876
"gfdl-esm4","boats","historical",1983,83425647476789
"gfdl-esm4","boats","historical",1984,150612401259371
"gfdl-esm4","boats","historical",1985,181112329214797
"gfdl-esm4","boats","historical",1986,227972195729510
"gfdl-esm4","boats","historical",1987,250953535078959
"gfdl-esm4","boats","historical",1988,297132021889424
"gfdl-esm4","boats","historical",1989,252316055211926
"gfdl-esm4","boats","historical",1990,199768092761506
"gfdl-esm4","boats","historical",1991,171959737809822
"gfdl-esm4","boats","historical",1992,192643640311946
"gfdl-esm4","boats","historical",1993,182301818800392
"gfdl-esm4","boats","historical",1994,138456149745487
"gfdl-esm4","boats","historical",1995,137718426931880
"gfdl-esm4","boats","historical",1996,120068345400821
"gfdl-esm4","boats","historical",1997,131469424336827
"gfdl-esm4","boats","historical",1998,118620034917902
"gfdl-esm4","boats","historical",1999,85444292604286
"gfdl-esm4","boats","historical",2000,49897599459491
"gfdl-esm4","boats","historical",2001,42851869632697
"gfdl-esm4","boats","historical",2002,23881335669424
"gfdl-esm4","boats","historical",2003,-17389660412638
"gfdl-esm4","boats","historical",2004,-47026053396228
"gfdl-esm4","boats","historical",2005,-48814363373322
"gfdl-esm4","boats","historical",2006,-21510483940940
"gfdl-esm4","boats","historical",2007,-18304647491288
"gfdl-esm4","boats","historical",2008,-32791412915121
"gfdl-esm4","boats","historical",2009,-60106549903616
"gfdl-esm4","boats","historical",2010,-21460913759026
"gfdl-esm4","boats","historical",2011,-31819297991586
"gfdl-esm4","boats","historical",2012,-92233322736366
"gfdl-esm4","boats","historical",2013,-163680848058312
"gfdl-esm4","boats","historical",2014,-154813774974885
"gfdl-esm4","boats","ssp1",2015,-147889510629528
"gfdl-esm4","boats","ssp1",2016,-161324592910400
"gfdl-esm4","boats","ssp1",2017,-246042781568223
"gfdl-esm4","boats","ssp1",2018,-226010835653820
"gfdl-esm4","boats","ssp1",2019,-225163552664590
"gfdl-esm4","boats","ssp1",2020,-246198682719006
"gfdl-esm4","boats","ssp1",2021,-289458507924373
"gfdl-esm4","boats","ssp1",2022,-271718243928207
"gfdl-esm4","boats","ssp1",2023,-273507598484316
"gfdl-esm4","boats","ssp1",2024,-288584946162794
"gfdl-esm4","boats","ssp1",2025,-325233959267779
"gfdl-esm4","boats","ssp1",2026,-328138186486994
"gfdl-esm4","boats","ssp1",2027,-304219293883450
"gfdl-esm4","boats","ssp1",2028,-310175382624504
"gfdl-esm4","boats","ssp1",2029,-337525484335147
"gfdl-esm4","boats","ssp1",2030,-364244817929172
"gfdl-esm4","boats","ssp1",2031,-380684990658877
"gfdl-esm4","boats","ssp1",2032,-335034740117899
"gfdl-esm4","boats","ssp1",2033,-376149593881446
"gfdl-esm4","boats","ssp1",2034,-404391713746497
"gfdl-esm4","boats","ssp1",2035,-379809185114110
"gfdl-esm4","boats","ssp1",2036,-429900403233182
"gfdl-esm4","boats","ssp1",2037,-447864756907414
"gfdl-esm4","boats","ssp1",2038,-425550413471633
"gfdl-esm4","boats","ssp1",2039,-418175211391197
"gfdl-esm4","boats","ssp1",2040,-404153392208308
"gfdl-esm4","boats","ssp1",2041,-457535622046362
"gfdl-esm4","boats","ssp1",2042,-480699368628832
"gfdl-esm4","boats","ssp1",2043,-492838750094686
"gfdl-esm4","boats","ssp1",2044,-479270209088917
"gfdl-esm4","boats","ssp1",2045,-506822643115644
"gfdl-esm4","boats","ssp1",2046,-506318346180732
"gfdl-esm4","boats","ssp1",2047,-476168409772886
"gfdl-esm4","boats","ssp1",2048,-479799159465144
"gfdl-esm4","boats","ssp1",2049,-522615287922449
"gfdl-esm4","boats","ssp1",2050,-509710299917618
"gfdl-esm4","boats","ssp1",2051,-530869022167285
"gfdl-esm4","boats","ssp1",2052,-508215227568278
"gfdl-esm4","boats","ssp1",2053,-482392532025702
"gfdl-esm4","boats","ssp1",2054,-489414517465093
"gfdl-esm4","boats","ssp1",2055,-511855444759108
"gfdl-esm4","boats","ssp1",2056,-518895638709312
"gfdl-esm4","boats","ssp1",2057,-525378564575530
"gfdl-esm4","boats","ssp1",2058,-491359863252492
"gfdl-esm4","boats","ssp1",2059,-495405823006737
"gfdl-esm4","boats","ssp1",2060,-535057545429943
"gfdl-esm4","boats","ssp1",2061,-550016774772036
"gfdl-esm4","boats","ssp1",2062,-530538502055688
"gfdl-esm4","boats","ssp1",2063,-512801298213632
"gfdl-esm4","boats","ssp1",2064,-514252787937510
"gfdl-esm4","boats","ssp1",2065,-525152594770804
"gfdl-esm4","boats","ssp1",2066,-533620889264986
"gfdl-esm4","boats","ssp1",2067,-538171189820870
"gfdl-esm4","boats","ssp1",2068,-551719216702274
"gfdl-esm4","boats","ssp1",2069,-571707423139506
"gfdl-esm4","boats","ssp1",2070,-575785022226337
"gfdl-esm4","boats","ssp1",2071,-572093571113814
"gfdl-esm4","boats","ssp1",2072,-579976129086985
"gfdl-esm4","boats","ssp1",2073,-570396823486320
"gfdl-esm4","boats","ssp1",2074,-562643387939551
"gfdl-esm4","boats","ssp1",2075,-535207867217354
"gfdl-esm4","boats","ssp1",2076,-530530371641126
"gfdl-esm4","boats","ssp1",2077,-580526849723996
"gfdl-esm4","boats","ssp1",2078,-672519716219586
