"year","scenario","esm","mem","biomass"
1950,"historical","ipsl-cm6a-lr","apecosm",955415956059876
1951,"historical","ipsl-cm6a-lr","apecosm",955712005788810
1952,"historical","ipsl-cm6a-lr","apecosm",930551910003739
1953,"historical","ipsl-cm6a-lr","apecosm",925651838218096
1954,"historical","ipsl-cm6a-lr","apecosm",936704985328074
1955,"historical","ipsl-cm6a-lr","apecosm",944522292496462
1956,"historical","ipsl-cm6a-lr","apecosm",927117444745628
1957,"historical","ipsl-cm6a-lr","apecosm",921242172724940
1958,"historical","ipsl-cm6a-lr","apecosm",918379424529813
1959,"historical","ipsl-cm6a-lr","apecosm",939436656320790
1960,"historical","ipsl-cm6a-lr","apecosm",933422988080343
1961,"historical","ipsl-cm6a-lr","apecosm",927677579046254
1962,"historical","ipsl-cm6a-lr","apecosm",923388398898043
1963,"historical","ipsl-cm6a-lr","apecosm",918398837624644
1964,"historical","ipsl-cm6a-lr","apecosm",939949028444858
1965,"historical","ipsl-cm6a-lr","apecosm",931142674121514
1966,"historical","ipsl-cm6a-lr","apecosm",932897516020419
1967,"historical","ipsl-cm6a-lr","apecosm",934501912058496
1968,"historical","ipsl-cm6a-lr","apecosm",942150724654054
1969,"historical","ipsl-cm6a-lr","apecosm",936045738682056
1970,"historical","ipsl-cm6a-lr","apecosm",943842405652354
1971,"historical","ipsl-cm6a-lr","apecosm",946215107882071
1972,"historical","ipsl-cm6a-lr","apecosm",942479443932449
1973,"historical","ipsl-cm6a-lr","apecosm",925081025165109
1974,"historical","ipsl-cm6a-lr","apecosm",928129292621001
1975,"historical","ipsl-cm6a-lr","apecosm",948764120720952
1976,"historical","ipsl-cm6a-lr","apecosm",932743798049768
1977,"historical","ipsl-cm6a-lr","apecosm",922940063992757
1978,"historical","ipsl-cm6a-lr","apecosm",936230977134217
1979,"historical","ipsl-cm6a-lr","apecosm",946012408455716
1980,"historical","ipsl-cm6a-lr","apecosm",943060619972052
1981,"historical","ipsl-cm6a-lr","apecosm",927496914443712
1982,"historical","ipsl-cm6a-lr","apecosm",924995334993872
1983,"historical","ipsl-cm6a-lr","apecosm",947278296316470
1984,"historical","ipsl-cm6a-lr","apecosm",954390500210737
1985,"historical","ipsl-cm6a-lr","apecosm",984123391076475
1986,"historical","ipsl-cm6a-lr","apecosm",1004626811832274
1987,"historical","ipsl-cm6a-lr","apecosm",972432092396815
1988,"historical","ipsl-cm6a-lr","apecosm",953070145373137
1989,"historical","ipsl-cm6a-lr","apecosm",931538234480231
1990,"historical","ipsl-cm6a-lr","apecosm",926178102125967
1991,"historical","ipsl-cm6a-lr","apecosm",940595607597608
1992,"historical","ipsl-cm6a-lr","apecosm",940151337505038
1993,"historical","ipsl-cm6a-lr","apecosm",941827477553422
1994,"historical","ipsl-cm6a-lr","apecosm",944796192382410
1995,"historical","ipsl-cm6a-lr","apecosm",947997257432007
1996,"historical","ipsl-cm6a-lr","apecosm",942680544918726
1997,"historical","ipsl-cm6a-lr","apecosm",924439928711920
1998,"historical","ipsl-cm6a-lr","apecosm",939519112960961
1999,"historical","ipsl-cm6a-lr","apecosm",948427562841184
2000,"historical","ipsl-cm6a-lr","apecosm",926091044742721
2001,"historical","ipsl-cm6a-lr","apecosm",917343571916771
2002,"historical","ipsl-cm6a-lr","apecosm",931616927296793
2003,"historical","ipsl-cm6a-lr","apecosm",938729111483652
2004,"historical","ipsl-cm6a-lr","apecosm",947136754404012
2005,"historical","ipsl-cm6a-lr","apecosm",935487533069388
2006,"historical","ipsl-cm6a-lr","apecosm",899351284639294
2007,"historical","ipsl-cm6a-lr","apecosm",917329225972831
2008,"historical","ipsl-cm6a-lr","apecosm",950088476176076
2009,"historical","ipsl-cm6a-lr","apecosm",944101676692072
2010,"historical","ipsl-cm6a-lr","apecosm",924080938529050
2011,"historical","ipsl-cm6a-lr","apecosm",932430246921628
2012,"historical","ipsl-cm6a-lr","apecosm",942499834091652
2013,"historical","ipsl-cm6a-lr","apecosm",930859241082225
2014,"historical","ipsl-cm6a-lr","apecosm",940111941957110
2015,"ssp1","ipsl-cm6a-lr","apecosm",960930044876761
2016,"ssp1","ipsl-cm6a-lr","apecosm",960054506364632
2017,"ssp1","ipsl-cm6a-lr","apecosm",928106659655756
2018,"ssp1","ipsl-cm6a-lr","apecosm",918754271723210
2019,"ssp1","ipsl-cm6a-lr","apecosm",917582140614360
2020,"ssp1","ipsl-cm6a-lr","apecosm",918690046970953
2021,"ssp1","ipsl-cm6a-lr","apecosm",914326450436523
2022,"ssp1","ipsl-cm6a-lr","apecosm",910402061787118
2023,"ssp1","ipsl-cm6a-lr","apecosm",915238581332234
2024,"ssp1","ipsl-cm6a-lr","apecosm",901541497583553
2025,"ssp1","ipsl-cm6a-lr","apecosm",889517464216461
2026,"ssp1","ipsl-cm6a-lr","apecosm",892632991372243
2027,"ssp1","ipsl-cm6a-lr","apecosm",910467228387340
2028,"ssp1","ipsl-cm6a-lr","apecosm",916457736931766
2029,"ssp1","ipsl-cm6a-lr","apecosm",902866427089342
2030,"ssp1","ipsl-cm6a-lr","apecosm",912393607744189
2031,"ssp1","ipsl-cm6a-lr","apecosm",910178192830037
2032,"ssp1","ipsl-cm6a-lr","apecosm",906742025387818
2033,"ssp1","ipsl-cm6a-lr","apecosm",895660442228065
2034,"ssp1","ipsl-cm6a-lr","apecosm",887389497879562
2035,"ssp1","ipsl-cm6a-lr","apecosm",903605937255950
2036,"ssp1","ipsl-cm6a-lr","apecosm",912864054473902
2037,"ssp1","ipsl-cm6a-lr","apecosm",901920441926368
2038,"ssp1","ipsl-cm6a-lr","apecosm",887092724552566
2039,"ssp1","ipsl-cm6a-lr","apecosm",889815588202696
2040,"ssp1","ipsl-cm6a-lr","apecosm",899524858440281
2041,"ssp1","ipsl-cm6a-lr","apecosm",903326948861512
2042,"ssp1","ipsl-cm6a-lr","apecosm",888531438465854
2043,"ssp1","ipsl-cm6a-lr","apecosm",903669994382035
2044,"ssp1","ipsl-cm6a-lr","apecosm",912460034710943
2045,"ssp1","ipsl-cm6a-lr","apecosm",896603413869631
2046,"ssp1","ipsl-cm6a-lr","apecosm",907007393206855
2047,"ssp1","ipsl-cm6a-lr","apecosm",909830206310570
2048,"ssp1","ipsl-cm6a-lr","apecosm",894947870666891
2049,"ssp1","ipsl-cm6a-lr","apecosm",892228243246062
2050,"ssp1","ipsl-cm6a-lr","apecosm",901721678616665
